MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,UNSOLVED
40039679,1,"St. Louis, MO-IL",5,2961,811,0.2738939547450186,"Firearm, type not stated",2150
34133536,1,"Los Angeles-Long Beach, CA",7,6671,4630,0.6940488682356468,Knife or cutting instrument,2041
99793829,1,"Miami-Fort Lauderdale, FL",5,4294,2275,0.5298090358639963,"Firearm, type not stated",2019
24100873,1,"St. Louis, MO-IL",6,4810,2916,0.6062370062370063,"Handgun - pistol, revolver, etc",1894
93362112,1,"Los Angeles-Long Beach, CA",5,2700,969,0.35888888888888887,"Firearm, type not stated",1731
19338578,1,"Chicago-Naperville-Joliet, IL-IN-WI",5,2476,964,0.3893376413570275,"Firearm, type not stated",1512
65899067,1,"Dallas-Fort Worth-Arlington, TX",5,2667,1185,0.44431946006749157,"Firearm, type not stated",1482
43911881,1,"Phoenix-Mesa-Scottsdale, AZ",6,5687,4237,0.745032530332337,"Handgun - pistol, revolver, etc",1450
68843893,2,"New York-New Jersey-Long Island, NY-NJ",6,3386,2219,0.6553455404607206,"Handgun - pistol, revolver, etc",1167
70993400,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,2192,1029,0.46943430656934304,"Firearm, type not stated",1163
38308722,1,"New York-New Jersey-Long Island, NY-NJ",5,1981,864,0.43614336193841496,"Firearm, type not stated",1117
62493998,2,"Los Angeles-Long Beach, CA",6,3936,2839,0.7212906504065041,"Handgun - pistol, revolver, etc",1097
51713198,1,"New York-New Jersey-Long Island, NY-NJ",11,2907,1810,0.6226350189198486,"Personal weapons, includes beating",1097
50337986,1,"San Diego-Carlsbad-San Marcos, CA",6,2484,1497,0.6026570048309179,"Handgun - pistol, revolver, etc",987
72627105,1,"New Orleans-Metairie-Kenner, LA",5,1694,739,0.436245572609209,"Firearm, type not stated",955
27678137,1,"Cleveland-Elyria-Mentor, OH",6,3260,2328,0.7141104294478527,"Handgun - pistol, revolver, etc",932
99478562,1,"Houston-Sugar Land-Baytown, TX",5,2736,1821,0.6655701754385965,"Firearm, type not stated",915
82618234,1,"New York-New Jersey-Long Island, NY-NJ",10,1755,841,0.4792022792022792,Other or type unknown,914
54914405,1,"Richmond, VA",6,2451,1540,0.6283149734802121,"Handgun - pistol, revolver, etc",911
47592722,1,"Boston-Cambridge-Quincy, MA-NH",6,1737,827,0.4761082325849165,"Handgun - pistol, revolver, etc",910
65759645,2,"New York-New Jersey-Long Island, NY-NJ",7,3187,2288,0.7179165359272043,Knife or cutting instrument,899
70836703,1,"Jacksonville, FL",6,2271,1395,0.6142668428005285,"Handgun - pistol, revolver, etc",876
41751451,1,"Pittsburgh, PA",6,2040,1178,0.5774509803921568,"Handgun - pistol, revolver, etc",862
69589827,1,"San Francisco-Oakland-Fremont, CA",5,1185,326,0.2751054852320675,"Firearm, type not stated",859
29045847,1,"Los Angeles-Long Beach, CA",1,1912,1078,0.5638075313807531,"Blunt object - hammer, club, etc",834
8805645,1,"San Antonio, TX",6,2972,2151,0.7237550471063257,"Handgun - pistol, revolver, etc",821
2604783,1,"Indianapolis, IN",6,2653,1844,0.6950621937429325,"Handgun - pistol, revolver, etc",809
76648504,1,"Kansas City, MO-KS",5,1950,1146,0.5876923076923077,"Firearm, type not stated",804
44764014,1,"New York-New Jersey-Long Island, NY-NJ",1,1916,1162,0.6064718162839249,"Blunt object - hammer, club, etc",754
84362175,2,"Chicago-Naperville-Joliet, IL-IN-WI",6,2463,1717,0.6971173365814048,"Handgun - pistol, revolver, etc",746
71539109,1,"Las Vegas-Paradise, NV",6,2134,1395,0.6537019681349578,"Handgun - pistol, revolver, etc",739
9036801,1,"Birmingham-Hoover, AL",6,2798,2064,0.7376697641172266,"Handgun - pistol, revolver, etc",734
15750562,1,"Chicago-Naperville-Joliet, IL-IN-WI",7,3587,2854,0.7956509618065235,Knife or cutting instrument,733
15641893,2,"New York-New Jersey-Long Island, NY-NJ",11,1867,1153,0.6175682913765399,"Personal weapons, includes beating",714
28022569,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE",5,1109,395,0.35617673579801623,"Firearm, type not stated",714
6149125,1,"Memphis, TN-MS-AR",5,1790,1120,0.6256983240223464,"Firearm, type not stated",670
31423762,1,"Sacramento-Roseville, CA",6,2140,1479,0.6911214953271028,"Handgun - pistol, revolver, etc",661
33263246,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,2054,1396,0.6796494644595911,Knife or cutting instrument,658
45659510,1,"Baton Rouge, LA",6,2228,1579,0.7087073608617595,"Handgun - pistol, revolver, etc",649
68323444,1,"Miami-Fort Lauderdale, FL",10,1137,496,0.436235708003518,Other or type unknown,641
29448632,1,"Indianapolis, IN",5,995,362,0.36381909547738694,"Firearm, type not stated",633
11984985,1,"Los Angeles-Long Beach, CA",15,1958,1329,0.6787538304392237,Shotgun,629
74647787,1,"Charlotte-Gastonia-Concord, NC-SC",6,2689,2070,0.7698029007065824,"Handgun - pistol, revolver, etc",619
44942469,1,"Los Angeles-Long Beach, CA",14,1841,1230,0.66811515480717,Rifle,611
1954022,1,"Columbus, OH",6,2012,1402,0.6968190854870775,"Handgun - pistol, revolver, etc",610
24734218,1,"Chicago-Naperville-Joliet, IL-IN-WI",10,1109,507,0.4571686203787196,Other or type unknown,602
55458832,1,"Fresno, CA",6,1442,849,0.5887656033287101,"Handgun - pistol, revolver, etc",593
69765402,1,"Seattle-Tacoma-Bellevue, WA",6,2269,1680,0.7404142794182459,"Handgun - pistol, revolver, etc",589
17233914,1,"Boston-Cambridge-Quincy, MA-NH",5,884,296,0.334841628959276,"Firearm, type not stated",588
63282489,1,"Louisville, KY-IN",6,1814,1233,0.6797133406835723,"Handgun - pistol, revolver, etc",581
72599967,1,"Buffalo-Niagara Falls, NY",6,848,274,0.3231132075471698,"Handgun - pistol, revolver, etc",574
48923699,1,"San Francisco-Oakland-Fremont, CA",7,1825,1254,0.6871232876712329,Knife or cutting instrument,571
69850304,1,"Memphis, TN-MS-AR",6,3811,3242,0.8506953555497245,"Handgun - pistol, revolver, etc",569
5079396,1,"Virginia Beach-Norfolk-Newport News, VA-NC",6,2758,2192,0.794778825235678,"Handgun - pistol, revolver, etc",566
14121707,1,"Kansas City, MO-KS",6,2342,1777,0.7587532023911187,"Handgun - pistol, revolver, etc",565
10510510,1,"Nashville-Davidson-Murfreesboro, TN",6,2404,1843,0.7666389351081531,"Handgun - pistol, revolver, etc",561
74159704,1,"Houston-Sugar Land-Baytown, TX",7,2801,2248,0.8025705105319528,Knife or cutting instrument,553
94368706,1,"Stockton, CA",6,1300,756,0.5815384615384616,"Handgun - pistol, revolver, etc",544
63054398,1,"Cincinnati-Middletown, OH-KY-IN",6,1631,1100,0.674432863274065,"Handgun - pistol, revolver, etc",531
79363330,1,"Phoenix-Mesa-Scottsdale, AZ",5,824,295,0.3580097087378641,"Firearm, type not stated",529
64797007,1,"Dallas-Fort Worth-Arlington, TX",7,2081,1559,0.7491590581451225,Knife or cutting instrument,522
87064103,1,"Detroit-Warren-Livonia, MI",7,2269,1762,0.7765535478184222,Knife or cutting instrument,507
37119478,1,"Richmond, VA",5,1141,642,0.5626643295354952,"Firearm, type not stated",499
67936706,2,"New York-New Jersey-Long Island, NY-NJ",10,985,502,0.5096446700507614,Other or type unknown,483
13022657,1,"Jackson, MS",6,1713,1234,0.7203736135434909,"Handgun - pistol, revolver, etc",479
78349742,1,"San Antonio, TX",5,1166,693,0.5943396226415094,"Firearm, type not stated",473
40158611,1,"Columbus, OH",5,827,362,0.437726723095526,"Firearm, type not stated",465
83833774,1,"Virginia Beach-Norfolk-Newport News, VA-NC",5,1184,720,0.6081081081081081,"Firearm, type not stated",464
89201110,2,"Los Angeles-Long Beach, CA",7,1674,1217,0.7270011947431302,Knife or cutting instrument,457
22469366,1,"Baltimore-Towson, MD",7,1677,1233,0.7352415026833632,Knife or cutting instrument,444
80898044,1,"Denver-Aurora, CO",6,2180,1740,0.7981651376146789,"Handgun - pistol, revolver, etc",440
27704717,1,"Bridgeport-Stamford-Norwalk, CT",6,859,419,0.48777648428405124,"Handgun - pistol, revolver, etc",440
96588414,1,"Milwaukee-Waukesha-West Allis, WI",6,2394,1958,0.8178780284043442,"Handgun - pistol, revolver, etc",436
33140496,1,"Los Angeles-Long Beach, CA",11,1766,1336,0.7565118912797282,"Personal weapons, includes beating",430
61115302,1,"Cleveland-Elyria-Mentor, OH",5,764,337,0.4410994764397906,"Firearm, type not stated",427
89352075,1,Rural North Carolina,6,2766,2340,0.8459869848156182,"Handgun - pistol, revolver, etc",426
77611810,1,"Bakersfield, CA",6,1138,715,0.6282952548330404,"Handgun - pistol, revolver, etc",423
66346982,1,"Detroit-Warren-Livonia, MI",10,927,505,0.5447680690399137,Other or type unknown,422
12135859,1,"Minneapolis-St. Paul-Bloomington, MN-WI",6,1687,1277,0.7569650266745702,"Handgun - pistol, revolver, etc",410
4190482,1,"Tucson, AZ",6,1483,1075,0.724881995954147,"Handgun - pistol, revolver, etc",408
49139698,2,"Detroit-Warren-Livonia, MI",6,1649,1247,0.7562158884172225,"Handgun - pistol, revolver, etc",402
2841061,1,"Milwaukee-Waukesha-West Allis, WI",5,928,533,0.5743534482758621,"Firearm, type not stated",395
95627511,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,1188,798,0.6717171717171717,"Handgun - pistol, revolver, etc",390
19359957,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE",7,2508,2126,0.8476874003189793,Knife or cutting instrument,382
87723568,1,"Oklahoma City, OK",6,1862,1484,0.7969924812030075,"Handgun - pistol, revolver, etc",378
34531413,1,"Riverside-San Bernardino, CA",5,681,305,0.447870778267254,"Firearm, type not stated",376
72485252,1,"Rochester, NY",6,788,413,0.5241116751269036,"Handgun - pistol, revolver, etc",375
49753899,1,"Miami-Fort Lauderdale, FL",7,1615,1248,0.7727554179566564,Knife or cutting instrument,367
41912975,2,"San Francisco-Oakland-Fremont, CA",6,1195,835,0.698744769874477,"Handgun - pistol, revolver, etc",360
63557112,1,"Las Vegas-Paradise, NV",5,970,612,0.6309278350515464,"Firearm, type not stated",358
96817244,1,"Riverside-San Bernardino, CA",7,1323,974,0.7362055933484505,Knife or cutting instrument,349
27703851,1,"Buffalo-Niagara Falls, NY",5,467,120,0.2569593147751606,"Firearm, type not stated",347
32353954,1,"Atlanta-Sandy Springs-Marietta, GA",5,980,635,0.6479591836734694,"Firearm, type not stated",345
71288141,1,"San Diego-Carlsbad-San Marcos, CA",7,1102,762,0.691470054446461,Knife or cutting instrument,340
91987908,1,"New York-New Jersey-Long Island, NY-NJ",15,900,565,0.6277777777777778,Shotgun,335
72485359,1,"Los Angeles-Long Beach, CA",10,730,397,0.5438356164383562,Other or type unknown,333
4149824,1,"Tampa-St. Petersburg-Clearwater, FL",5,959,627,0.6538060479666319,"Firearm, type not stated",332
23314615,1,"Flint, MI",6,856,524,0.6121495327102804,"Handgun - pistol, revolver, etc",332
35364536,1,"Orlando-Kissimmee, FL",6,1468,1139,0.7758855585831063,"Handgun - pistol, revolver, etc",329
91103951,1,"Albuquerque, NM",6,1064,737,0.6926691729323309,"Handgun - pistol, revolver, etc",327
84878321,2,"Chicago-Naperville-Joliet, IL-IN-WI",7,1260,936,0.7428571428571429,Knife or cutting instrument,324
57935069,1,"Detroit-Warren-Livonia, MI",1,853,531,0.6225087924970691,"Blunt object - hammer, club, etc",322
21172763,1,"Chicago-Naperville-Joliet, IL-IN-WI",1,1079,758,0.7025023169601483,"Blunt object - hammer, club, etc",321
55733196,1,"Youngstown-Warren-Boardman, OH-PA",6,753,432,0.5737051792828686,"Handgun - pistol, revolver, etc",321
72355246,1,"Dallas-Fort Worth-Arlington, TX",10,719,399,0.5549374130737135,Other or type unknown,320
8196399,1,"San Antonio, TX",7,1090,771,0.7073394495412844,Knife or cutting instrument,319
29128553,1,"Savannah, GA",6,905,588,0.6497237569060773,"Handgun - pistol, revolver, etc",317
75201777,1,"Pittsburgh, PA",5,521,204,0.3915547024952015,"Firearm, type not stated",317
66036809,2,"Atlanta-Sandy Springs-Marietta, GA",6,1688,1373,0.8133886255924171,"Handgun - pistol, revolver, etc",315
44629677,1,"Louisville, KY-IN",5,474,164,0.3459915611814346,"Firearm, type not stated",310
32612844,2,"Baltimore-Towson, MD",6,938,629,0.6705756929637526,"Handgun - pistol, revolver, etc",309
35119246,2,"Dallas-Fort Worth-Arlington, TX",6,1863,1555,0.8346752549651101,"Handgun - pistol, revolver, etc",308
56235592,1,"Tampa-St. Petersburg-Clearwater, FL",6,1804,1497,0.8298226164079823,"Handgun - pistol, revolver, etc",307
38678938,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE",6,1566,1259,0.8039591315453385,"Handgun - pistol, revolver, etc",307
18652928,1,"Bakersfield, CA",5,492,191,0.3882113821138211,"Firearm, type not stated",301
73055159,1,"Phoenix-Mesa-Scottsdale, AZ",7,1114,814,0.7307001795332136,Knife or cutting instrument,300
23414703,1,"Boston-Cambridge-Quincy, MA-NH",7,1088,788,0.7242647058823529,Knife or cutting instrument,300
53171280,1,"Greensboro-High Point, NC",6,1044,745,0.7136015325670498,"Handgun - pistol, revolver, etc",299
55795940,1,"Hartford, CT",6,725,427,0.5889655172413794,"Handgun - pistol, revolver, etc",298
1066748,2,"Detroit-Warren-Livonia, MI",5,640,345,0.5390625,"Firearm, type not stated",295
36513824,2,"New York-New Jersey-Long Island, NY-NJ",1,774,485,0.6266149870801033,"Blunt object - hammer, club, etc",289
54334364,1,"Houston-Sugar Land-Baytown, TX",10,650,362,0.556923076923077,Other or type unknown,288
45095,1,"Salinas, CA",6,583,295,0.5060034305317325,"Handgun - pistol, revolver, etc",288
31399337,1,"Chicago-Naperville-Joliet, IL-IN-WI",9,439,152,0.3462414578587699,Other gun,287
20778030,1,"Cleveland-Elyria-Mentor, OH",10,435,150,0.3448275862068966,Other or type unknown,285
19933317,2,"Miami-Fort Lauderdale, FL",10,616,334,0.5422077922077922,Other or type unknown,282
9294900,2,"Los Angeles-Long Beach, CA",1,728,447,0.614010989010989,"Blunt object - hammer, club, etc",281
49044812,2,"Los Angeles-Long Beach, CA",16,596,317,0.5318791946308725,Strangulation - hanging,279
72291480,1,"Cincinnati-Middletown, OH-KY-IN",5,502,223,0.4442231075697211,"Firearm, type not stated",279
19773120,1,"Flint, MI",5,442,165,0.3733031674208145,"Firearm, type not stated",277
97402048,1,"Mobile, AL",6,1081,805,0.7446808510638298,"Handgun - pistol, revolver, etc",276
78734823,1,Rural Texas,6,2321,2047,0.8819474364498061,"Handgun - pistol, revolver, etc",274
76973139,1,"San Jose-Sunnyvale-Santa Clara, CA",6,962,688,0.7151767151767152,"Handgun - pistol, revolver, etc",274
69489799,1,"St. Louis, MO-IL",7,937,663,0.7075773745997865,Knife or cutting instrument,274
6072693,1,"Birmingham-Hoover, AL",5,595,324,0.5445378151260504,"Firearm, type not stated",271
83034583,1,"St. Louis, MO-IL",10,521,250,0.4798464491362764,Other or type unknown,271
45260945,1,"New York-New Jersey-Long Island, NY-NJ",4,601,331,0.5507487520798668,Fire,270
48136053,1,"Fresno, CA",5,481,211,0.4386694386694387,"Firearm, type not stated",270
99973225,1,"Baltimore-Towson, MD",5,362,92,0.2541436464088398,"Firearm, type not stated",270
90501062,1,"San Francisco-Oakland-Fremont, CA",1,575,307,0.5339130434782609,"Blunt object - hammer, club, etc",268
53039841,1,"Toledo, OH",6,782,516,0.659846547314578,"Handgun - pistol, revolver, etc",266
76190407,1,"Atlanta-Sandy Springs-Marietta, GA",7,1337,1073,0.8025430067314884,Knife or cutting instrument,264
21494356,1,"Little Rock-North Little Rock, AR",6,1399,1136,0.8120085775553967,"Handgun - pistol, revolver, etc",263
53553475,1,"Jacksonville, FL",10,481,220,0.4573804573804574,Other or type unknown,261
78682457,2,"Los Angeles-Long Beach, CA",11,989,730,0.7381193124368048,"Personal weapons, includes beating",259
45947700,1,"Detroit-Warren-Livonia, MI",15,1259,1001,0.7950754567116759,Shotgun,258
30681935,1,"Jacksonville, FL",5,435,184,0.42298850574712643,"Firearm, type not stated",251
67245872,1,"Houston-Sugar Land-Baytown, TX",1,736,486,0.6603260869565217,"Blunt object - hammer, club, etc",250
70159158,1,"Vallejo-Fairfield, CA",6,548,299,0.5456204379562044,"Handgun - pistol, revolver, etc",249
23459577,1,"Visalia-Porterville, CA",6,668,421,0.6302395209580839,"Handgun - pistol, revolver, etc",247
352629,2,"Houston-Sugar Land-Baytown, TX",6,2077,1831,0.8815599422243621,"Handgun - pistol, revolver, etc",246
52026530,1,"Dallas-Fort Worth-Arlington, TX",1,594,349,0.5875420875420876,"Blunt object - hammer, club, etc",245
92677818,2,"New Orleans-Metairie-Kenner, LA",6,920,680,0.7391304347826086,"Handgun - pistol, revolver, etc",240
83889725,2,"Miami-Fort Lauderdale, FL",6,1317,1080,0.8200455580865603,"Handgun - pistol, revolver, etc",237
15416964,1,"Shreveport-Bossier City, LA",6,1225,988,0.806530612244898,"Handgun - pistol, revolver, etc",237
41396316,1,"Detroit-Warren-Livonia, MI",14,1190,954,0.8016806722689076,Rifle,236
1224210,2,"St. Louis, MO-IL",5,372,142,0.3817204301075269,"Firearm, type not stated",230
14985016,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,696,467,0.6709770114942529,Knife or cutting instrument,229
82542895,1,"Little Rock-North Little Rock, AR",5,525,298,0.5676190476190476,"Firearm, type not stated",227
68537278,1,Rural North Carolina,10,591,365,0.6175972927241963,Other or type unknown,226
53475514,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",10,558,335,0.600358422939068,Other or type unknown,223
7392255,1,"New Orleans-Metairie-Kenner, LA",7,881,659,0.7480136208853575,Knife or cutting instrument,222
68262923,1,"Oxnard-Thousand Oaks-Ventura, CA",6,514,293,0.5700389105058365,"Handgun - pistol, revolver, etc",221
9617288,2,"Los Angeles-Long Beach, CA",10,488,267,0.5471311475409836,Other or type unknown,221
5438667,1,"Atlanta-Sandy Springs-Marietta, GA",10,510,291,0.5705882352941176,Other or type unknown,219
80550664,2,"Miami-Fort Lauderdale, FL",5,716,501,0.6997206703910615,"Firearm, type not stated",215
11714105,1,"Trenton-Ewing, NJ",6,425,211,0.4964705882352941,"Handgun - pistol, revolver, etc",214
34929405,1,"Tulsa, OK",6,1452,1239,0.8533057851239669,"Handgun - pistol, revolver, etc",213
37169241,1,"Durham, NC",6,821,611,0.7442143727161997,"Handgun - pistol, revolver, etc",210
3904379,1,"Denver-Aurora, CO",5,627,417,0.6650717703349283,"Firearm, type not stated",210
8781615,1,Rural South Carolina,6,1770,1562,0.8824858757062147,"Handgun - pistol, revolver, etc",208
57568740,1,"Portland-Vancouver-Beaverton, OR-WA",6,945,741,0.7841269841269841,"Handgun - pistol, revolver, etc",204
37597933,2,"Detroit-Warren-Livonia, MI",7,797,593,0.7440401505646174,Knife or cutting instrument,204
34121579,1,"Shreveport-Bossier City, LA",5,328,124,0.3780487804878049,"Firearm, type not stated",204
22769818,1,Rural Alabama,6,1141,938,0.8220858895705522,"Handgun - pistol, revolver, etc",203
71530296,2,"Houston-Sugar Land-Baytown, TX",7,833,630,0.7563025210084033,Knife or cutting instrument,203
98038283,1,Rural Kentucky,6,1521,1319,0.8671926364234056,"Handgun - pistol, revolver, etc",202
79913697,1,"Dayton, OH",6,920,718,0.7804347826086957,"Handgun - pistol, revolver, etc",202
22438396,1,"New Haven-Milford, CT",6,631,432,0.6846275752773375,"Handgun - pistol, revolver, etc",199
33402462,2,"Chicago-Naperville-Joliet, IL-IN-WI",16,394,195,0.4949238578680203,Strangulation - hanging,199
46693167,1,"Montgomery, AL",6,660,462,0.7,"Handgun - pistol, revolver, etc",198
94777060,1,"Chicago-Naperville-Joliet, IL-IN-WI",15,609,411,0.6748768472906403,Shotgun,198
76278697,2,"Riverside-San Bernardino, CA",6,970,774,0.797938144329897,"Handgun - pistol, revolver, etc",196
59723782,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,445,249,0.5595505617977528,"Blunt object - hammer, club, etc",196
81926623,1,"Providence-New Bedford-Fall River, RI-MA",5,379,183,0.48284960422163586,"Firearm, type not stated",196
31637159,1,"San Francisco-Oakland-Fremont, CA",14,473,278,0.587737843551797,Rifle,195
35404490,2,"St. Louis, MO-IL",6,835,643,0.770059880239521,"Handgun - pistol, revolver, etc",192
81611960,1,"San Antonio, TX",10,443,251,0.5665914221218962,Other or type unknown,192
67547368,1,"Orlando-Kissimmee, FL",5,754,563,0.746684350132626,"Firearm, type not stated",191
56242357,1,"Augusta-Richmond County, GA-SC",6,839,649,0.7735399284862932,"Handgun - pistol, revolver, etc",190
78163644,1,"New Haven-Milford, CT",5,376,187,0.4973404255319149,"Firearm, type not stated",189
13938178,1,"Chicago-Naperville-Joliet, IL-IN-WI",14,507,320,0.631163708086785,Rifle,187
3146360,1,"Los Angeles-Long Beach, CA",16,351,164,0.4672364672364672,Strangulation - hanging,187
46554254,2,"Dallas-Fort Worth-Arlington, TX",7,728,542,0.7445054945054945,Knife or cutting instrument,186
69914095,2,"New York-New Jersey-Long Island, NY-NJ",16,399,213,0.5338345864661654,Strangulation - hanging,186
20600690,1,"San Diego-Carlsbad-San Marcos, CA",5,356,170,0.47752808988764045,"Firearm, type not stated",186
10773703,1,"Salinas, CA",5,241,57,0.23651452282157676,"Firearm, type not stated",184
19275896,1,Rural Mississippi,6,1749,1566,0.8953687821612349,"Handgun - pistol, revolver, etc",183
49903048,2,"Detroit-Warren-Livonia, MI",10,477,294,0.6163522012578616,Other or type unknown,183
1663831,2,"Dallas-Fort Worth-Arlington, TX",10,462,279,0.6038961038961039,Other or type unknown,183
59779,1,"Seattle-Tacoma-Bellevue, WA",5,433,250,0.5773672055427251,"Firearm, type not stated",183
7418546,1,"Miami-Fort Lauderdale, FL",14,450,268,0.5955555555555555,Rifle,182
8855518,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE",7,910,729,0.8010989010989011,Knife or cutting instrument,181
74781994,1,"Dallas-Fort Worth-Arlington, TX",15,974,796,0.8172484599589322,Shotgun,178
95129861,2,"Baltimore-Towson, MD",7,603,425,0.7048092868988391,Knife or cutting instrument,178
40764653,2,"Dallas-Fort Worth-Arlington, TX",5,408,231,0.5661764705882353,"Firearm, type not stated",177
3073598,2,"Phoenix-Mesa-Scottsdale, AZ",6,1176,1000,0.8503401360544217,"Handgun - pistol, revolver, etc",176
59607891,1,"New York-New Jersey-Long Island, NY-NJ",17,482,308,0.6390041493775933,Weapon Not Reported,174
49417425,1,"Phoenix-Mesa-Scottsdale, AZ",1,456,284,0.6228070175438597,"Blunt object - hammer, club, etc",172
2294834,2,"Chicago-Naperville-Joliet, IL-IN-WI",10,454,283,0.6233480176211453,Other or type unknown,171
47345041,1,Rural Georgia,6,1424,1255,0.8813202247191011,"Handgun - pistol, revolver, etc",169
39817670,1,"Fayetteville, NC",6,627,458,0.7304625199362041,"Handgun - pistol, revolver, etc",169
75935142,2,"San Francisco-Oakland-Fremont, CA",7,594,425,0.7154882154882155,Knife or cutting instrument,169
50424729,1,"Miami-Fort Lauderdale, FL",1,510,342,0.6705882352941176,"Blunt object - hammer, club, etc",168
51195641,1,Rural South Carolina,5,516,349,0.6763565891472868,"Firearm, type not stated",167
90479569,1,"Phoenix-Mesa-Scottsdale, AZ",10,341,175,0.5131964809384164,Other or type unknown,166
99076783,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE",10,485,320,0.6597938144329897,Other or type unknown,165
93386009,1,"Sacramento-Roseville, CA",5,308,143,0.4642857142857143,"Firearm, type not stated",165
26417084,1,"Las Vegas-Paradise, NV",7,598,436,0.7290969899665551,Knife or cutting instrument,162
9390153,1,"Dayton, OH",5,384,223,0.5807291666666666,"Firearm, type not stated",161
43917400,1,"Omaha-Council Bluffs, NE-IA",6,475,315,0.6631578947368421,"Handgun - pistol, revolver, etc",160
46604445,1,"Baltimore-Towson, MD",1,431,271,0.62877030162413,"Blunt object - hammer, club, etc",160
60832981,1,"Atlantic City, NJ",6,305,146,0.4786885245901639,"Handgun - pistol, revolver, etc",159
24753262,1,"Hartford, CT",5,265,106,0.4,"Firearm, type not stated",159
15024316,2,"Detroit-Warren-Livonia, MI",16,253,94,0.3715415019762846,Strangulation - hanging,159
75707719,1,"Atlanta-Sandy Springs-Marietta, GA",1,429,271,0.6317016317016317,"Blunt object - hammer, club, etc",158
19050234,2,"Houston-Sugar Land-Baytown, TX",10,380,222,0.5842105263157895,Other or type unknown,158
46662322,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE",1,609,452,0.7422003284072249,"Blunt object - hammer, club, etc",157
59121225,1,"Portland-Vancouver-Beaverton, OR-WA",5,369,212,0.5745257452574526,"Firearm, type not stated",157
73038755,1,"Columbus, GA-AL",6,591,435,0.7360406091370558,"Handgun - pistol, revolver, etc",156
17167116,1,"Baton Rouge, LA",5,353,197,0.5580736543909348,"Firearm, type not stated",156
90862538,1,"Seattle-Tacoma-Bellevue, WA",7,663,508,0.7662141779788839,Knife or cutting instrument,155
77401058,1,"Cape Coral-Fort Myers, FL",5,346,191,0.5520231213872833,"Firearm, type not stated",155
8997210,2,"Los Angeles-Long Beach, CA",5,280,125,0.44642857142857145,"Firearm, type not stated",155
69741176,1,"Rochester, NY",5,274,119,0.4343065693430657,"Firearm, type not stated",155
50760948,1,"Modesto, CA",6,542,388,0.7158671586715867,"Handgun - pistol, revolver, etc",154
45486699,2,"New York-New Jersey-Long Island, NY-NJ",4,408,255,0.625,Fire,153
